0,1,2,3,4,5,/home/incoming/LLM/llama3/llama3-8b-instruct_correct,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceA_probs,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceB_probs,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceC_probs,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceD_probs
Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative.,"True, True","False, False","True, False","False, True",D,False,0.40143526,0.18523194,0.2098953,0.20343748
Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions.,"True, True","False, False","True, False","False, True",C,False,0.45172012,0.05856247,0.4145217,0.0751957
"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels.","True, True","False, False","True, False","False, True",B,False,0.15592167,0.23775215,0.27365106,0.33267507
"A machine learning problem involves four attributes plus a class. The attributes have 3, 2, 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there?",12,24,48,72,D,True,0.032201838,0.07313712,0.31033382,0.58432716
"As of 2020, which architecture is best for classifying high-resolution images?",convolutional networks,graph networks,fully connected networks,RBF networks,A,True,0.9989065,0.00073478115,0.00014426371,0.00021446089
Statement 1| The log-likelihood of the data will always increase through successive iterations of the expectation maximation algorithm. Statement 2| One disadvantage of Q-learning is that it can only be used when the learner has prior knowledge of how its actions affect its environment.,"True, True","False, False","True, False","False, True",B,False,0.18629263,0.2229631,0.25864172,0.33210254
Let us say that we have computed the gradient of our cost function and stored it in a vector g. What is the cost of one gradient descent update given the gradient?,O(D),O(N),O(ND),O(ND^2),A,True,0.3903637,0.33651453,0.119054206,0.15406759
"Statement 1| For a continuous random variable x and its probability distribution function p(x), it holds that 0 ≤ p(x) ≤ 1 for all x. Statement 2| Decision tree is learned by minimizing information gain.","True, True","False, False","True, False","False, True",B,False,0.5093174,0.11275969,0.2521304,0.12579252
Consider the Bayesian network given below. How many independent parameters are needed for this Bayesian Network H -> U <- P <- W?,2,4,8,16,C,False,0.09136678,0.23331326,0.3139573,0.36136264
"As the number of training examples goes to infinity, your model trained on that data will have:",Lower variance,Higher variance,Same variance,None of the above,A,True,0.84943706,0.06627367,0.04867662,0.035612576
Statement 1| The set of all rectangles in the 2D plane (which includes non axisaligned rectangles) can shatter a set of 5 points. Statement 2| The VC-dimension of k-Nearest Neighbour classifier when k = 1 is infinite.,"True, True","False, False","True, False","False, True",A,False,0.28730002,0.08426483,0.23266265,0.39577252
_ refers to a model that can neither model the training data nor generalize to new data.,good fitting,overfitting,underfitting,all of the above,C,True,0.0036541126,0.017095616,0.9592635,0.019986799
Statement 1| The F1 score can be especially useful for datasets with class high imbalance. Statement 2| The area under the ROC curve is one of the main metrics used to assess anomaly detectors.,"True, True","False, False","True, False","False, True",A,True,0.65741205,0.047067948,0.17902577,0.11649429
"Statement 1| The back-propagation algorithm learns a globally optimal neural network with hidden layers. Statement 2| The VC dimension of a line should be at most 2, since I can find at least one case of 3 points that cannot be shattered by any line.","True, True","False, False","True, False","False, True",B,False,0.038576312,0.4278995,0.09547729,0.43804687
High entropy means that the partitions in classification are,pure,not pure,useful,useless,B,True,0.10188413,0.8732952,0.002264141,0.022556508
"Statement 1| Layer Normalization is used in the original ResNet paper, not Batch Normalization. Statement 2| DCGANs use self-attention to stabilize training.","True, True","False, False","True, False","False, True",B,False,0.2706126,0.19039974,0.37865508,0.16033264
"In building a linear regression model for a particular data set, you observe the coefficient of one of the features having a relatively high negative value. This suggests that",This feature has a strong effect on the model (should be retained),This feature does not have a strong effect on the model (should be ignored),It is not possible to comment on the importance of this feature without additional information,Nothing can be determined.,C,False,0.5694168,0.28078282,0.07797057,0.07182986
"For a neural network, which one of these structural assumptions is the one that most affects the trade-off between underfitting (i.e. a high bias model) and overfitting (i.e. a high variance model):",The number of hidden nodes,The learning rate,The initial choice of weights,The use of a constant-term unit input,A,True,0.97169656,0.005744163,0.0042686993,0.0182906
"For polynomial regression, which one of these structural assumptions is the one that most affects the trade-off between underfitting and overfitting:",The polynomial degree,Whether we learn the weights by matrix inversion or gradient descent,The assumed variance of the Gaussian noise,The use of a constant-term unit input,A,True,0.98843426,0.0015649907,0.003482271,0.0065184576
"Statement 1| As of 2020, some models attain greater than 98% accuracy on CIFAR-10. Statement 2| The original ResNets were not optimized with the Adam optimizer.","True, True","False, False","True, False","False, True",A,True,0.47573653,0.05014226,0.32442412,0.14969714
The K-means algorithm:,Requires the dimension of the feature space to be no bigger than the number of samples,Has the smallest value of the objective function when K = 1,Minimizes the within class variance for a given number of clusters,Converges to the global optimum if and only if the initial means are chosen as some of the samples themselves,C,True,0.0428249,0.024882156,0.6595084,0.27278453
