0,1,2,3,4,5,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_correct,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_choiceA_probs,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_choiceB_probs,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_choiceC_probs,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_choiceD_probs
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,"Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.","Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.","Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.","State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.",D,True,0.020592896,0.069937535,0.11219728,0.79727226
Which of the following statements does NOT accurately describe voting behavior in the United States?,Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.,A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.,Registered voters are more likely to vote in general elections than they are in primary elections.,More women than men have voted in every presidential election since 1980.,B,True,0.058319412,0.8241664,0.040554784,0.07695945
Which of the following plays the most significant role in forming a child's political views?,The geographical area in which the child grows up,The child's family,The media to which the child is exposed,The child's religion,B,True,0.13088295,0.58428985,0.24643935,0.03838785
What power was granted to the states by the Articles of Confederation but not by the Constitution?,Coining money,Authorizing constitutional amendments,Having representation in Congress,Appealing to the president to adjudicate disputes,A,True,0.3999692,0.10474657,0.1584765,0.33680782
The primary function of political action committees (PACs) is to,contribute money to candidates for election,coordinate local get-out-the-vote campaigns,promote the defeat of incumbents in the federal and state legislatures,organize protest demonstrations and other acts of civil disobedience,A,True,0.9996743,0.00013470341,0.00010247696,8.851337e-05
Federal judges are subject to which of the following disciplinary actions?,"Impeachment, conviction, and removal from office by Congress",Removal from office by the appointing president,Removal from office by the president-elect,Recall elections by citizens residing in the district over which the judge has jurisdiction,A,True,0.99687046,0.0019623681,0.00012496092,0.001042206
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,vice president,president's chief of staff,national security advisor,chair of the Federal Reserve Board,B,True,0.0028444303,0.99310017,0.0018400927,0.0022152446
Which of the following defines the salience of a political issue?,The amount of coverage the issue receives in the major news media,The degree to which public opinion on the issue is likely to shift quickly,The number of people affected by the issue,The importance of the issue to a particular individual or group,D,True,0.3009898,0.017657116,0.008340631,0.6730125
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,which special interest groups have endorsed which candidates,"the relative strength of each candidate's support, as indicated by public opinion polls",candidates' positions on international issues,candidates' positions on domestic issues,B,True,0.06870019,0.47501463,0.020387217,0.43589792
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,"One man, one vote",Separate but equal,Judicial review,Right to privacy,C,True,5.9905014e-05,3.119995e-05,0.99990594,2.982495e-06
Which of the following people would most likely be accused of influence peddling?,A congressperson who retires to take a position teaching political science at a university,A former president who advises a current president on a particular foreign policy issue,A voter who researches the positions of all candidates in a race before choosing whom to support,An official who leaves the State Department to work as a paid consultant to foreign governments,D,True,0.0006606005,0.0050955247,0.00018130495,0.9940626
Which of the following does the Supreme Court NOT have the power to override?,Constitutional amendments,Presidential executive orders,Laws passed by Congress,Laws passed by state legislatures,A,False,0.37005815,0.09283722,0.050672274,0.48643225
"According to The Federalist Papers, federalism has which of the following effects on political factions?",It provides a structured environment in which factions may flourish.,It limits the dangers of factionalism by diluting political power.,It allows factions to dominate on the national level while limiting their influence on state governments.,It eliminates any opportunity for factions to form.,B,True,0.00036927615,0.99837923,0.001085363,0.00016612103
